KODE,NAMA_PRODUK,LOKASI,QTY_STOK,UNIT,TAHUN
10000049,INDOMILK STROWBERY,SC,90.0,BOTOL,2021
A000001,ANATON TAB,ETL1,16.0,STRIP,2021
A00001,ACTIVED HIJAU,ETL3A,2.0,BOTOL,2021
A000012,APIALYS SYR 100 ML,ETL3A,1.0,BOTOL,2021
A000014,ALKOHOL 1000 ML,ETL3B,4.0,BOTOL,2021
A000016,ALLOPURINOL 300,RAK2,32.0,STRIP,2021
A000018,ATORVASTATIN 10MG,RAK2,25.0,STRIP,2021
A00002,ACTIVED KUNING,ETL3A,1.0,BOTOL,2021
A00003,ACTIVED MERAH,ETL3A,2.0,BOTOL,2021
A00004,ACYCLOVIR 200MG,RAK2,11.0,STRIP,2021
A000040,MEFIX 500MG,RAK1,3.0,STRIP,2021
A00005,ACYCLOVIR 400MG,RAK2,5.0,STRIP,2021
A000053,ALPARA SYR,ETL3A,4.0,BOTOL,2021
A000066,ANDALAN KB FE,RAK4,49.0,STRIP,2021
A000069,ALKOHOL SWEP,ETL3B,106.0,PSG,2021
A00007,AFITSON NO.1 18 G,ETL2,8.0,POT,2021
A000076,ALOFAR 300MG,RAK1,26.0,STRIP,2021
A000078,ARKAVIT BOX,ETL1,8.0,STRIP,2021
A00008,AKURAT,ETL3B,14.0,PCS,2021
A00009,ALBOTHYL 10ML,RAK4,2.0,BOTOL,2021
A00010,ALBOTHYL 5ML,RAK4,2.0,BOTOL,2021
A00013,ALLERON,ETL1,31.0,STRIP,2021
A00014,ALLETROL TM 5 ML,RAK4,5.0,FLS,2021
A00015,ALLOPURINOL 100MG,RAK2,46.0,STRIP,2021
A00016,ALPARA,ETL1,46.0,STRIP,2021
A000165,AMUNIZER BTL 140ML,SC,2.0,KLG,2021
A00018,AMBROXOL 30MG,RAK2,28.0,STRIP,2021
A000184,AIR MANCUR PROLINU,ETL1,10.0,STRIP,2021
A000185,AIR MANCUR SEHAT PRIA,ETL1,8.0,STRIP,2021
A00019,AMLODIPINE 10MG,RAK2,62.0,STRIP,2021
A00020,AMLODIPINE 5MG,RAK2,69.0,STRIP,2021
